levels,lowest,high_level,low_level,method,datasets,S_shared,train_time,test_time,mae_error,median_ae_error,minimum_ae_error,maximum_ae_error,mae_relative,median_ae_relative,minimum_ae_relative,maximum_ae_relative,mae_std,median_ae_std,minimum_ae_std,maximum_ae_std,pearson_error,spearman_error,kendall_error,pearson_std,spearman_std,kendall_std
2,PBE,160,80,Multitask,A,1.0,0.010276079177856445,0.008807897567749023,0.01069707593552405,0.006661085841113235,1.4579343948668833e-6,0.10220959043514086,7.986095977194312,0.6746389195523647,7.660576738184332e-5,309.9800441853244,0.30027232393709863,0.26757458486516905,0.10532827897421891,1.4122930205595938,0.830852159635038,0.7657952526489008,0.5957384283414501,0.40428131866922207,0.11933466147130344,0.08119122257053292
2,PBE,160,81,Multitask,AT,1.0,2.698758602142334,0.22653889656066895,0.008135410289037082,0.005244870424654033,1.6996853687172627e-6,0.07415714256589642,5.742933383325743,0.5382193168866746,0.0017216718203046557,273.77806397154495,0.2707578892587973,0.24348126153247163,0.10146525861384251,1.0800489555918644,0.9149098706605696,0.8604491220644382,0.6937839831982373,0.29497833892005215,0.10678632115548004,0.07519592476489029
2,PBE,320,160,Multitask,A,1.0,0.027150869369506836,0.015459060668945312,0.008538716765300604,0.004517423895507044,2.4140723666108994e-5,0.11862441494986666,6.111924396779253,0.4852200915819779,0.0005941665178179599,574.6180379640828,0.22920288386353596,0.1986337914207288,0.0753387642507376,1.2706196220643418,0.8710555755826446,0.832631635421658,0.6750526581696425,0.45616867543633993,0.13655992734304045,0.09184952978056427
2,PBE,320,161,Multitask,AT,1.0,8.206062078475952,0.49883270263671875,0.006753139851837643,0.004120006698122251,6.077184865085211e-6,0.08473739549221537,4.332840407029723,0.3848142938581167,0.0005695073610724871,361.4968209963351,0.2090461791569173,0.1825595497839571,0.07307297035321461,0.9821990500663021,0.9283033483833802,0.8980419780942699,0.7504090138809143,0.435235960081892,0.11846087364134415,0.07887931034482759
2,PBE,5,8,Multitask,CA,1.0,0.00037097930908203125,0.0029540061950683594,0.017670444947582374,0.009268518764036959,1.2886948872192338e-5,0.204764001477056,15.373030922376373,1.0893680205255876,0.0042774770938390815,1167.0184309489773,1.0262582380685512,0.9328948583563602,0.4565860059885155,2.499410696358493,0.29583435208597453,0.33546787683545015,0.2332598582274285,0.18448705149993355,-0.015034204435590191,-0.015830721003134797
2,PBE,5,9,Multitask,CAT,1.0,0.08053326606750488,0.02380204200744629,0.008574690841794186,0.004951833977595237,3.3956515385282925e-5,0.10629573760338039,6.821535580042149,0.4492337702390336,0.007426654033794956,556.0443390966904,0.7802400081270494,0.7287270975185909,0.353230763787749,1.7800326451476045,0.9799359048576562,0.9494392978054002,0.8350918452340387,0.19230053878907824,-0.04580208302815457,-0.023981191222570534
2,PBE,10,15,Multitask,CA,1.0,0.00040912628173828125,0.004357814788818359,0.017787391359280494,0.01026540323984134,6.76584881565104e-5,0.20679914423029563,26.212722682864353,1.295364134562446,0.004315122486215864,2672.06878507577,0.8073213708025093,0.7379367246314941,0.32547544397842565,2.4114623590695823,0.3207170624801644,0.3796972759302106,0.2688807252797145,0.35795285052600173,0.19876402601587906,0.1322884012539185
2,PBE,10,16,Multitask,CAT,1.0,0.1319570541381836,0.03373408317565918,0.00868494996811187,0.005238597929669737,2.9334900878332654e-5,0.10531833810919042,13.803012173809512,0.5419852367614737,0.0013788462837334915,1361.0301307446412,0.6179948819901777,0.5738162416426065,0.26268141047236143,1.7132555539653462,0.9554009549284014,0.9058238576803094,0.7632623080427953,0.35332141791347565,0.19660921981659976,0.1314655172413793
2,PBE,20,30,Multitask,CA,1.0,0.0009849071502685547,0.0038900375366210938,0.01964587073739794,0.010416090029745483,3.3201731619001557e-5,0.22826124264519912,16.276328402713975,1.218081709618655,0.002439061499921123,1218.213619736789,0.6408477278723245,0.5637656982264603,0.28072088727471467,2.177957617762209,0.26957440485364065,0.35730855622234403,0.2664119523156947,0.3163802042908523,0.1552841092198166,0.10556426332288402
2,PBE,20,31,Multitask,CAT,1.0,0.3316495418548584,0.04937028884887695,0.010053631997574438,0.00568763612116956,4.440460593919254e-5,0.10788335385467582,11.52496115765997,0.7040987183536396,0.0007714635834670557,719.6784817556849,0.49670846979546573,0.44422779636881626,0.23188436266980186,1.5569083366317737,0.8654477811051985,0.823641064168816,0.6451138876218465,0.29473324172423165,0.24418524594966748,0.1629310344827586
