"levels","lowest","high_level","low_level","method","datasets","task_fractions","train_time","test_time","mae_error","median_ae_error","minimum_ae_error","maximum_ae_error","mae_relative","median_ae_relative","minimum_ae_relative","maximum_ae_relative","mae_std","median_ae_std","minimum_ae_std","maximum_ae_std","pearson_error","spearman_error","kendall_error","pearson_std","spearman_std","kendall_std"
2,"PBE",10,11,"Delta","CT",1,0.000435829162597656,0.00690412521362305,0.224310373824348,0.168011406749708,7.83050243828853E-05,1.41579876533979,0.0237403681050558,0.0184693799820892,8.07575195518984E-06,0.128720141028066,0.649729322297887,0.597052021087541,0.180277914831158,1.64119529814325,0.935810480691362,0.930782160958603,0.779114420062696,0.267190271674243,0.176770647174289,0.119592476489028
2,"PBE",20,21,"Delta","CT",1,0.000746011734008789,0.00777602195739746,0.182158821437035,0.122852175100426,4.95087575272946E-05,1.59363728841297,0.0189284018673624,0.013231822448529,5.81743755979491E-06,0.149353562337439,0.505249476810211,0.456607905084704,0.170114519838944,1.50400321484935,0.948862948642014,0.946146324671139,0.819631661442006,0.262108686287446,0.153318635924179,0.101057993730408
2,"PBE",40,41,"Delta","CT",1,0.0014960765838623,0.00909304618835449,0.232826592485224,0.167242034660628,0.000254423448512564,1.66377188196831,0.0245915229711894,0.0177390649897834,3.01927505519126E-05,0.155926482955412,0.377632718013813,0.348771192835233,0.128263000927669,1.35978805710851,0.927116460324227,0.90922347874491,0.759992163009404,0.39919455683285,0.311582632642897,0.211755485893417
2,"PBE",80,81,"Delta","CT",1,0.00340890884399414,0.0151479244232178,0.189973500623784,0.140882407040914,0.00250631667237783,1.52042876965753,0.0199799896594277,0.0154144188394503,0.000290762521966386,0.142492557547284,0.279476488688587,0.25428999140839,0.107738370529079,1.14205089579236,0.948275959257436,0.938886121934785,0.808189655172414,0.236916104429063,0.19278447543433,0.13044670846395
2,"PBE",160,161,"Delta","CT",1,0.0114288330078125,0.017827033996582,0.180175696154898,0.130848441857541,0.00189091817840842,1.69870463893501,0.0186702721572134,0.0135626401047132,0.00025040469893941,0.159200334372656,0.20060836073532,0.187417757123372,0.0856116282550027,0.779995791686864,0.949682125985134,0.946943939882225,0.829545454545455,0.256413142158315,0.248057964433246,0.169474921630094
2,"PBE",320,321,"Delta","CT",1,0.0269999504089355,0.0293269157409668,0.155065768075494,0.0968861219729902,4.93032414008443E-05,1.56984418315381,0.0160046019064162,0.0105271931725348,5.53636813373555E-06,0.147123704228971,0.147509113599513,0.137349956511022,0.0669951948127246,0.631372575148076,0.955381219466094,0.954904344768992,0.850391849529781,0.248877291716111,0.178643834412445,0.122100313479624
2,"PBE",5,6,"Delta","CAT",1,0.000164985656738281,0.00685715675354004,0.283947479530767,0.224852621137254,0.00306548712328886,1.38255454861329,0.0298749078358201,0.0247648719351655,0.000298904855245513,0.125697677405295,0.8640612198287,0.802014188469208,0.192495435498969,2.04556186307875,0.920215073540967,0.919697213839979,0.752076802507837,0.199366001700386,0.120677936307972,0.081974921630094
2,"PBE",10,11,"Delta","CAT",1,0.000303030014038086,0.00663399696350098,0.224310373824348,0.168011406749708,7.83050243828853E-05,1.41579876533979,0.0237403681050558,0.0184693799820892,8.07575195518984E-06,0.128720141028066,0.649729322297887,0.597052021087541,0.180277914831158,1.64119529814325,0.935810480691362,0.930782160958603,0.779114420062696,0.267190271674243,0.176770647174289,0.119592476489028
2,"PBE",20,21,"Delta","CAT",1,0.000748872756958008,0.00782299041748047,0.182158821437035,0.122852175100426,4.95087575272946E-05,1.59363728841297,0.0189284018673624,0.013231822448529,5.81743755979491E-06,0.149353562337439,0.505249476810211,0.456607905084704,0.170114519838944,1.50400321484935,0.948862948642014,0.946146324671139,0.819631661442006,0.262108686287446,0.153318635924179,0.101057993730408
2,"PBE",40,41,"Delta","CAT",1,0.0015251636505127,0.00913596153259277,0.232826592485224,0.167242034660628,0.000254423448512564,1.66377188196831,0.0245915229711894,0.0177390649897834,3.01927505519126E-05,0.155926482955412,0.377632718013813,0.348771192835233,0.128263000927669,1.35978805710851,0.927116460324227,0.90922347874491,0.759992163009404,0.39919455683285,0.311582632642897,0.211755485893417
