task,variance,lengthscale,rho,seed,objective_mle,objective_mae
CCSDT_PBE,4.39672114361272,1.05035592665317,1.0,13,-851.643025601123,0.00215935529372189
CCSDT_PBE_SCAN,4.39672114361272,1.05035592665317,0.782394238024017,13,-851.643025601123,0.00215935529372189
SCAN_PBE,0.0876413889609728,1.04940689937451,1.0,13,-981.399687574427,0.000842716843090578
PBE_SCAN,0.0876413889609728,1.04940689937451,1.0,13,-981.399687574427,0.000842716843090578
SCAN_PBE_CCSDT,0.0876413889609728,1.04940689937451,0.811345991970619,13,-981.399687574427,0.000842716843090578
PBE_SCAN_CCSDT,0.0876413889609728,1.04940689937451,-0.270734239113682,13,-981.399687574427,0.000842716843090578
SCAN_PBE,0.305343920136725,1.0494068993745,1.0,4,-981.399687574426,0.000862892496185063
PBE_SCAN,0.305343920136725,1.0494068993745,1.0,4,-981.399687574426,0.000862892496185063
SCAN_PBE_CCSDT,0.305343920136725,1.0494068993745,0.811345991970619,4,-981.399687574426,0.000862892496185063
PBE_SCAN_CCSDT,0.305343920136725,1.0494068993745,-0.270734239113682,4,-981.399687574426,0.000862892496185063
CCSDT_PBE,4.50864215862843,1.05035592665316,1.0,28,-851.643025601123,0.00216377040365505
CCSDT_PBE_SCAN,4.50864215862843,1.05035592665316,0.782394238024017,28,-851.643025601123,0.00216377040365505
SCAN_PBE,0.925042490280467,1.04940689937452,1.0,8,-981.399687574427,0.00114686761643464
PBE_SCAN,0.925042490280467,1.04940689937452,1.0,8,-981.399687574427,0.00114686761643464
SCAN_PBE_CCSDT,0.925042490280467,1.04940689937452,0.811345991970619,8,-981.399687574427,0.00114686761643464
PBE_SCAN_CCSDT,0.925042490280467,1.04940689937452,-0.270734239113682,8,-981.399687574427,0.00114686761643464
CCSDT_PBE,2.17219454754272,1.05035592665317,1.0,62,-851.643025601123,0.00206446538585085
CCSDT_PBE_SCAN,2.17219454754272,1.05035592665317,0.782394238024017,62,-851.643025601123,0.00206446538585085
CCSDT_PBE,2.59287359695051,1.0503559266532,1.0,9,-851.643025601123,0.0021528920826726
CCSDT_PBE_SCAN,2.59287359695051,1.0503559266532,0.782394238024017,9,-851.643025601123,0.0021528920826726
CCSDT_PBE,5.22757520006068,1.05035592665315,1.0,24,-851.643025601123,0.00209149788356593
CCSDT_PBE_SCAN,5.22757520006068,1.05035592665315,0.782394238024017,24,-851.643025601123,0.00209149788356593
CCSDT_SCAN,5.68892761757258,1.17863755331457,1.0,41,-881.662352145914,0.00152843449014016
CCSDT_SCAN_PBE,5.68892761757258,1.17863755331457,0.782394238024017,41,-881.662352145914,0.00152843449014016
CCSDT_PBE,0.213761888569306,1.05035592665317,1.0,34,-851.643025601123,0.00205042089134605
CCSDT_PBE_SCAN,0.213761888569306,1.05035592665317,0.782394238024017,34,-851.643025601123,0.00205042089134605
SCAN_PBE,3.6350677530861,1.04940689937451,1.0,29,-981.399687574427,0.000922355573211104
PBE_SCAN,3.6350677530861,1.04940689937451,1.0,29,-981.399687574427,0.000922355573211104
SCAN_PBE_CCSDT,3.6350677530861,1.04940689937451,0.811345991970619,29,-981.399687574427,0.000922355573211104
PBE_SCAN_CCSDT,3.6350677530861,1.04940689937451,-0.270734239113682,29,-981.399687574427,0.000922355573211104
CCSDT_SCAN,1.10877103148953,1.1786375533146,1.0,80,-881.662352145915,0.00176491466016344
CCSDT_SCAN_PBE,1.10877103148953,1.1786375533146,0.782394238024017,80,-881.662352145915,0.00176491466016344
CCSDT_SCAN,1.20080271228231,1.17863755331458,1.0,43,-881.662352145914,0.00139600497030898
CCSDT_SCAN_PBE,1.20080271228231,1.17863755331458,0.782394238024017,43,-881.662352145914,0.00139600497030898
CCSDT_SCAN,13.36598311722,1.17863755331461,1.0,36,-881.662352145914,0.0018669632825249
CCSDT_SCAN_PBE,13.36598311722,1.17863755331461,0.782394238024017,36,-881.662352145914,0.0018669632825249
SCAN_PBE,4.04596983156138,1.0494068993745,1.0,2,-981.399687574427,0.000907347862263108
PBE_SCAN,4.04596983156138,1.0494068993745,1.0,2,-981.399687574427,0.000907347862263108
SCAN_PBE_CCSDT,4.04596983156138,1.0494068993745,0.811345991970619,2,-981.399687574427,0.000907347862263108
PBE_SCAN_CCSDT,4.04596983156138,1.0494068993745,-0.270734239113682,2,-981.399687574427,0.000907347862263108
CCSDT_SCAN,0.732594813818642,1.17863755331459,1.0,47,-881.662352145914,0.00202887895383503
CCSDT_SCAN_PBE,0.732594813818642,1.17863755331459,0.782394238024017,47,-881.662352145914,0.00202887895383503
CCSDT_SCAN,20677.2059680824,1.17863755331458,1.0,64,-881.662352145914,0.0014585860006638
CCSDT_SCAN_PBE,20677.2059680824,1.17863755331458,0.782394238024017,64,-881.662352145914,0.0014585860006638
CCSDT_PBE,2.23048282236231,1.05035592665318,1.0,44,-851.643025601123,0.00223956473946224
CCSDT_PBE_SCAN,2.23048282236231,1.05035592665318,0.782394238024017,44,-851.643025601123,0.00223956473946224
SCAN_PBE,0.230297063836388,1.04940689937451,1.0,43,-981.399687574427,0.000978443725818322
PBE_SCAN,0.230297063836388,1.04940689937451,1.0,43,-981.399687574427,0.000978443725818322
SCAN_PBE_CCSDT,0.230297063836388,1.04940689937451,0.811345991970619,43,-981.399687574427,0.000978443725818322
PBE_SCAN_CCSDT,0.230297063836388,1.04940689937451,-0.270734239113682,43,-981.399687574427,0.000978443725818322
CCSDT_SCAN,3.02614052798225,1.17863755331461,1.0,82,-881.662352145914,0.00208787918693386
CCSDT_SCAN_PBE,3.02614052798225,1.17863755331461,0.782394238024017,82,-881.662352145914,0.00208787918693386
SCAN_PBE,0.357448218685532,1.04940689937452,1.0,44,-981.399687574427,0.00103380991536904
